,Exposure,Relative,Cont,Sampling Point,Sampling Mass
0,81433.0,1.0,Point Source,Baseline,Baseline
1,81245.0,0.997691353628136,Point Source,Preharvest,2 Tomatoes
2,79724.0,0.9790134220770449,Point Source,Preharvest,6 Tomatoes
3,78414.0,0.9629265776773543,Point Source,Preharvest,5 X 20 Tomatoes
4,80835.0,0.9926565397320497,Point Source,Harvest,2 Tomatoes
5,80608.0,0.9898689720383628,Point Source,Harvest,6 Tomatoes
6,77892.0,0.9565163999852639,Point Source,Harvest,5 X 20 Tomatoes
7,80741.0,0.9915022165461177,Point Source,Receiving,2 Tomatoes
8,80741.0,0.9915022165461177,Point Source,Receiving,6 Tomatoes
9,77574.0,0.9526113492073238,Point Source,Receiving,5 X 20 Tomatoes
10,81292.0,0.998268515221102,Point Source,Packed Product,2 Tomatoes
11,79892.0,0.9810764677710511,Point Source,Packed Product,6 Tomatoes
12,72764.0,0.8935443861825059,Point Source,Packed Product,5 X 20 Tomatoes
