"","Type","Mass","Cont","mean","q95","q05"
"1","Preharvest","2 Tomatoes","100%",0.0581666666666667,0.09,0.03
"2","Preharvest","2 Tomatoes","10%",0.0316666666666667,0.0605,0.01
"3","Preharvest","2 Tomatoes","1%",0.0095,0.03,0
"4","Preharvest","2 Tomatoes","0.1%",0.000666666666666667,0.01,0
"5","Preharvest","6 Tomatoes","100%",0.126333333333333,0.18,0.0795
"6","Preharvest","6 Tomatoes","10%",0.0768333333333333,0.13,0.04
"7","Preharvest","6 Tomatoes","1%",0.0223333333333333,0.0505,0
"8","Preharvest","6 Tomatoes","0.1%",0.00183333333333333,0.01,0
"9","Preharvest","20 Tomatoes","100%",0.223333333333333,0.2805,0.15
"10","Preharvest","20 Tomatoes","10%",0.178,0.24,0.1195
"11","Preharvest","20 Tomatoes","1%",0.0606666666666667,0.1,0.02
"12","Preharvest","20 Tomatoes","0.1%",0.00783333333333333,0.02,0
"13","Preharvest","60 Tomatoes","100%",0.283333333333333,0.3515,0.2085
"14","Preharvest","60 Tomatoes","10%",0.250333333333333,0.31,0.179
"15","Preharvest","60 Tomatoes","1%",0.139333333333333,0.211,0.0795
"16","Preharvest","60 Tomatoes","0.1%",0.0263333333333333,0.0505,0
"17","Preharvest","20 Tomato Mash","100%",0.0826666666666667,0.1305,0.0395
"18","Preharvest","20 Tomato Mash","10%",0.0673333333333333,0.1005,0.0295
"19","Preharvest","20 Tomato Mash","1%",0.0408333333333333,0.07,0.01
"20","Preharvest","20 Tomato Mash","0.1%",0.00683333333333333,0.03,0
"21","Preharvest","60 Tomato Mash","100%",0.161833333333333,0.21,0.1095
"22","Preharvest","60 Tomato Mash","10%",0.139166666666667,0.1905,0.089
"23","Preharvest","60 Tomato Mash","1%",0.101166666666667,0.16,0.06
"24","Preharvest","60 Tomato Mash","0.1%",0.0215,0.06,0
"25","Harvest","2 Tomatoes","100%",0.0638333333333333,0.11,0.02
"26","Harvest","2 Tomatoes","10%",0.0315,0.06,0.0095
"27","Harvest","2 Tomatoes","1%",0.0085,0.03,0
"28","Harvest","2 Tomatoes","0.1%",5e-04,0.000499999999999972,0
"29","Harvest","6 Tomatoes","100%",0.136333333333333,0.19,0.0895
"30","Harvest","6 Tomatoes","10%",0.0796666666666667,0.121,0.0495
"31","Harvest","6 Tomatoes","1%",0.0233333333333333,0.05,0
"32","Harvest","6 Tomatoes","0.1%",0.00183333333333333,0.01,0
"33","Harvest","20 Tomatoes","100%",0.2335,0.3005,0.1695
"34","Harvest","20 Tomatoes","10%",0.1865,0.26,0.13
"35","Harvest","20 Tomatoes","1%",0.06,0.1,0.02
"36","Harvest","20 Tomatoes","0.1%",0.00816666666666667,0.02,0
"37","Harvest","60 Tomatoes","100%",0.2985,0.3705,0.2295
"38","Harvest","60 Tomatoes","10%",0.2585,0.3215,0.1895
"39","Harvest","60 Tomatoes","1%",0.149833333333333,0.201,0.0795
"40","Harvest","60 Tomatoes","0.1%",0.0291666666666667,0.06,0
"41","Harvest","20 Tomato Mash","100%",0.0871666666666667,0.1305,0.05
"42","Harvest","20 Tomato Mash","10%",0.0736666666666667,0.1205,0.0395
"43","Harvest","20 Tomato Mash","1%",0.0383333333333333,0.0605,0.0195
"44","Harvest","20 Tomato Mash","0.1%",0.00783333333333333,0.03,0
"45","Harvest","60 Tomato Mash","100%",0.166833333333333,0.2205,0.11
"46","Harvest","60 Tomato Mash","10%",0.143166666666667,0.21,0.089
"47","Harvest","60 Tomato Mash","1%",0.104166666666667,0.1505,0.05
"48","Harvest","60 Tomato Mash","0.1%",0.0248333333333333,0.06,0
"49","Receiving","2 Tomatoes","100%",0.0553333333333333,0.09,0.02
"50","Receiving","2 Tomatoes","10%",0.0358333333333333,0.0605,0.01
"51","Receiving","2 Tomatoes","1%",0.0085,0.03,0
"52","Receiving","2 Tomatoes","0.1%",5e-04,0.000499999999999972,0
"53","Receiving","6 Tomatoes","100%",0.134666666666667,0.19,0.0795
"54","Receiving","6 Tomatoes","10%",0.0773333333333333,0.13,0.0495
"55","Receiving","6 Tomatoes","1%",0.0226666666666667,0.0505,0
"56","Receiving","6 Tomatoes","0.1%",0.00183333333333333,0.01,0
"57","Receiving","20 Tomatoes","100%",0.228833333333333,0.31,0.159
"58","Receiving","20 Tomatoes","10%",0.178,0.2505,0.11
"59","Receiving","20 Tomatoes","1%",0.0646666666666667,0.1005,0.02
"60","Receiving","20 Tomatoes","0.1%",0.00816666666666667,0.0205,0
"61","Receiving","60 Tomatoes","100%",0.300333333333333,0.3705,0.2295
"62","Receiving","60 Tomatoes","10%",0.2605,0.321,0.19
"63","Receiving","60 Tomatoes","1%",0.149833333333333,0.21,0.08
"64","Receiving","60 Tomatoes","0.1%",0.028,0.06,0
"65","Receiving","20 Tomato Mash","100%",0.0843333333333333,0.14,0.0395
"66","Receiving","20 Tomato Mash","10%",0.071,0.12,0.03
"67","Receiving","20 Tomato Mash","1%",0.0366666666666667,0.06,0.01
"68","Receiving","20 Tomato Mash","0.1%",0.00766666666666667,0.03,0
"69","Receiving","60 Tomato Mash","100%",0.161333333333333,0.2215,0.0995
"70","Receiving","60 Tomato Mash","10%",0.136,0.2,0.08
"71","Receiving","60 Tomato Mash","1%",0.102833333333333,0.15,0.05
"72","Receiving","60 Tomato Mash","0.1%",0.024,0.06,0
"73","Packed Product","2 Tomatoes","100%",0.006,0.02,0
"74","Packed Product","2 Tomatoes","10%",0.00383333333333333,0.0105,0
"75","Packed Product","2 Tomatoes","1%",0.00216666666666667,0.01,0
"76","Packed Product","2 Tomatoes","0.1%",5e-04,0.000499999999999972,0
"77","Packed Product","6 Tomatoes","100%",0.0163333333333333,0.04,0
"78","Packed Product","6 Tomatoes","10%",0.0116666666666667,0.03,0
"79","Packed Product","6 Tomatoes","1%",0.00866666666666667,0.0205,0
"80","Packed Product","6 Tomatoes","0.1%",0.00133333333333333,0.01,0
"81","Packed Product","20 Tomatoes","100%",0.0451666666666667,0.08,0.01
"82","Packed Product","20 Tomatoes","10%",0.0351666666666667,0.07,0.0095
"83","Packed Product","20 Tomatoes","1%",0.0261666666666667,0.0605,0
"84","Packed Product","20 Tomatoes","0.1%",0.00783333333333333,0.02,0
"85","Packed Product","60 Tomatoes","100%",0.106333333333333,0.14,0.0595
"86","Packed Product","60 Tomatoes","10%",0.0835,0.121,0.04
"87","Packed Product","60 Tomatoes","1%",0.0683333333333333,0.1205,0.0295
"88","Packed Product","60 Tomatoes","0.1%",0.0255,0.05,0.0095
"89","Packed Product","20 Tomato Mash","100%",0.00783333333333333,0.02,0
"90","Packed Product","20 Tomato Mash","10%",0.007,0.03,0
"91","Packed Product","20 Tomato Mash","1%",0.00766666666666667,0.0205,0
"92","Packed Product","20 Tomato Mash","0.1%",0.00383333333333333,0.02,0
"93","Packed Product","60 Tomato Mash","100%",0.0236666666666667,0.0455,0.01
"94","Packed Product","60 Tomato Mash","10%",0.0196666666666667,0.05,0
"95","Packed Product","60 Tomato Mash","1%",0.0178333333333333,0.04,0
"96","Packed Product","60 Tomato Mash","0.1%",0.011,0.03,0
