,Sample_Size,Number_of_Grabs,Cluster_Size,Contamination_Level,PerReject
0,240,1,100000,1000,0.010101010101010102
1,240,240,1000,10000,0.025252525252525252
2,480,480,1000,100,0.016835016835016835
3,120,30,50000,100000,0.06565656565656566
4,960,60,100000,25000,0.13333333333333333
5,120,60,25000,100,0.1111111111111111
6,60,120,100000,10000,0.09668109668109669
7,60,480,10000,1000,0.0845959595959596
8,960,60,25000,100,0.07519640852974187
9,960,60,50000,1000,0.06868686868686869
10,960,60,50000,1000,0.06336088154269973
11,120,240,100000,50000,0.07407407407407407
12,60,240,100,1000,0.06837606837606838
13,60,120,10000,100000,0.07215007215007214
14,960,480,25000,10000,0.08417508417508418
15,60,30,100000,100000,0.0845959595959596
16,120,60,1000,100000,0.09090909090909091
17,60,60,50000,1000,0.08585858585858586
18,120,480,1000,100,0.08133971291866028
19,960,120,50000,10000,0.08535353535353535
20,60,1,1000,1000,0.08128908128908129
21,120,30,100,100000,0.0775941230486685
22,960,480,10000,100000,0.11067193675889328
23,960,1,100,1000,0.10606060606060606
24,120,240,10000,100,0.10181818181818182
25,240,120,25000,50000,0.10606060606060606
26,60,30,25000,1000,0.10213243546576879
27,960,1,100,50000,0.09848484848484848
28,480,120,50000,10000,0.09648206199930338
29,240,1,10000,1000,0.09326599326599326
30,60,120,100000,10000,0.09058325187357445
31,240,240,100,10000,0.08901515151515152
32,240,240,25000,100,0.08631772268135904
33,240,1,25000,100,0.08377896613190731
34,120,30,50000,50000,0.08427128427128427
35,120,30,10000,1000,0.0819304152637486
36,120,60,25000,1000,0.07971607971607972
37,120,30,100000,1000,0.07761828814460393
38,960,60,25000,100,0.07562807562807562
39,120,60,1000,100,0.07373737373737374
40,120,30,25000,25000,0.07317073170731707
41,240,120,25000,100,0.07142857142857142
42,60,60,100000,10000,0.06976744186046512
43,120,1,25000,1000,0.06818181818181818
44,960,60,1000,100,0.06689113355780023
45,60,1,10000,25000,0.06565656565656566
46,960,240,25000,100000,0.08166774124220932
47,480,480,100,100000,0.08543771043771044
48,480,120,50000,10000,0.08596165739022882
49,240,1,100,10000,0.08424242424242424
50,60,60,100000,25000,0.08377896613190731
51,120,1,10000,10000,0.08275058275058275
52,60,120,25000,10000,0.08118925100057175
53,120,30,25000,10000,0.08099513655069211
54,480,60,50000,50000,0.0866850321395776
55,240,1,50000,50000,0.08946608946608947
56,480,120,1000,100,0.08789650894914053
57,60,120,50000,1000,0.08638105189829327
58,240,480,1000,1000,0.08491696627289848
59,120,1,25000,100,0.08350168350168351
60,60,30,25000,50000,0.08213280344427885
61,60,480,25000,50000,0.08145975887911372
62,480,30,100,10000,0.08048741382074716
63,960,60,25000,100,0.07922979797979798
64,120,240,100000,100,0.07801087801087801
65,60,480,10000,10000,0.07713498622589532
66,60,120,50000,100000,0.0774913312226745
67,60,480,50000,50000,0.07709447415329768
68,480,1,25000,1000,0.07612355438442395
69,240,240,25000,100,0.07503607503607504
70,120,1,50000,25000,0.07497510314411723
71,60,240,50000,100,0.0739337822671156
72,480,120,1000,10000,0.07402795074027951
73,120,240,25000,10000,0.07302757302757303
74,480,60,50000,100000,0.08080808080808081
75,960,1,1000,1000,0.07987772461456671
76,60,480,1000,100000,0.0804145349599895
77,240,1,25000,100000,0.08249158249158249
78,60,30,100,1000,0.08144738524485359
79,480,240,50000,50000,0.08535353535353535
80,60,240,1000,100,0.08429978800349171
81,960,240,25000,10000,0.08561221975856122
82,240,120,50000,100000,0.08957040282341487
83,120,480,100,1000,0.0885040885040885
84,480,480,100,100000,0.09138443256090314
85,60,480,100000,100,0.09032182287996242
86,240,60,10000,100,0.08928364100777894
87,960,30,1000,10000,0.08999081726354453
88,240,240,25000,100,0.08897968448530247
89,240,60,50000,100000,0.09180695847362515
90,240,1,25000,100000,0.09357309357309357
91,960,240,25000,10000,0.09442248572683355
92,120,30,1000,50000,0.09395025524057782
93,240,60,10000,50000,0.09509993552546744
94,240,1,25000,100000,0.09707602339181287
95,120,1,100,50000,0.09606481481481481
96,60,30,25000,100,0.09507445589919816
97,240,120,50000,100,0.09410430839002268
98,480,120,10000,50000,0.09692888480767269
